Stethoscope	ECG
0.221863	0.170898
0.0775146	0.174561
-0.0482178	0.178223
-0.0723267	0.181274
-0.0274658	0.184631
0.0323486	0.187378
0.065918	0.19043
0.0811768	0.194397
0.0869751	0.19928
0.0909424	0.203552
0.0927734	0.207825
0.124207	0.211792
0.107422	0.214844
0.0891113	0.217285
0.0457764	0.220337
0.0204468	0.223083
-0.0180054	0.22583
-0.0268555	0.228577
-0.00946045	0.231323
-0.00396729	0.233459
-0.0140381	0.235596
-0.0402832	0.238953
-0.111694	0.243225
-0.142212	0.248718
-0.115662	0.254822
-0.090332	0.261536
-0.0799561	0.268555
-0.0799561	0.275269
0.00640869	0.282593
0.123901	0.289917
0.201111	0.297241
0.118713	0.30426
-0.0317383	0.310669
-0.178223	0.316467
-0.212402	0.321655
-0.124207	0.326233
-0.0283813	0.329895
0.0708008	0.333252
0.159912	0.336304
0.160828	0.33844
0.067749	0.340576
-0.00274658	0.342407
-0.0738525	0.344543
-0.107422	0.346375
-0.0814819	0.347595
0.00244141	0.3479
0.0439453	0.3479
0.0408936	0.34729
0.010376	0.346069
0.0119019	0.343323
-0.0137329	0.338745
-0.0405884	0.333557
-0.0592041	0.327454
-0.039978	0.32074
0.0109863	0.314026
0.0537109	0.308228
0.0463867	0.30304
0.0454712	0.296021
0.0430298	0.288086
0.0170898	0.280762
-0.0250244	0.274658
-0.0564575	0.268555
-0.0250244	0.263062
0.0131226	0.258179
0.0540161	0.253296
0.0564575	0.249023
0.0595093	0.245361
0.0537109	0.24231
0.0521851	0.240173
0.00335693	0.238342
-0.0115967	0.236511
0.0366211	0.23468
0.0314331	0.233459
-0.0436401	0.231934
-0.137939	0.230103
-0.209656	0.228271
-0.234375	0.22583
-0.224609	0.223083
-0.231628	0.220947
-0.25177	0.219421
-0.24353	0.21759
-0.193176	0.215454
0.221252	0.213623
0.856323	0.212708
1.18866	0.212708
1.08795	0.213013
0.628662	0.213623
-0.0552368	0.214844
-0.697632	0.216064
-1.05774	0.21698
-1.10779	0.218811
-0.824585	0.221252
-0.361023	0.223083
0.0518799	0.223999
0.343018	0.223999
0.509033	0.223999
0.52124	0.224304
0.406189	0.225525
0.244751	0.22644
0.0967407	0.227051
-0.0308228	0.228271
-0.121765	0.230103
-0.175171	0.232544
-0.184937	0.235596
-0.153503	0.238647
-0.108948	0.241394
-0.0524902	0.243835
0.0134277	0.246277
0.0561523	0.248413
0.0521851	0.249939
0.0357056	0.251465
0.0448608	0.25238
0.050354	0.252686
0.0332642	0.252991
-0.00579834	0.253601
-0.00732422	0.253601
0.0262451	0.252686
0.0454712	0.25116
0.0872803	0.249023
0.129089	0.247498
0.10498	0.247192
0.0393677	0.246887
-0.0415039	0.246887
-0.101013	0.246582
-0.115356	0.246582
-0.118713	0.248108
-0.137634	0.250549
-0.130005	0.252991
-0.098877	0.255737
-0.0765991	0.259094
-0.0262451	0.263367
0.0405884	0.267334
0.0601196	0.270691
0.0357056	0.273438
0.038147	0.276184
0.0500488	0.278931
0.055542	0.281067
0.0735474	0.283813
0.0860596	0.286865
0.06073	0.290222
0.0119019	0.292969
-0.00549316	0.29541
-0.0189209	0.297241
-0.0524902	0.298767
-0.0683594	0.300598
-0.0296021	0.302734
-0.0170898	0.304565
-0.0109863	0.306091
0.0170898	0.307312
0.0595093	0.308533
0.0741577	0.310364
0.0445557	0.3125
-0.00183105	0.315247
-0.0393677	0.318909
-0.0500488	0.32135
-0.039978	0.322571
-0.00732422	0.322571
-0.000915527	0.321045
-0.0357056	0.318604
-0.043335	0.314026
-0.0125122	0.306702
-0.020752	0.298157
-0.0213623	0.289001
0.0378418	0.279846
0.0692749	0.271606
0.0497437	0.263977
0.0360107	0.256348
0.0357056	0.248718
0.0302124	0.240479
0.0140381	0.232239
-0.00488281	0.223999
0.00335693	0.215454
0.00671387	0.206604
-0.0323486	0.197754
-0.0839233	0.189514
-0.118103	0.181885
-0.12085	0.174561
-0.0918579	0.168457
-0.0750732	0.1651
-0.0408936	0.164185
0.0344849	0.1651
0.0878906	0.166626
0.133057	0.168152
0.157776	0.169983
0.117188	0.171814
0.0646973	0.17395
0.0494385	0.175171
0.00366211	0.174866
-0.0701904	0.172729
-0.0836182	0.168152
-0.0628662	0.159912
-0.045166	0.14801
-0.0158691	0.133667
0.0131226	0.12085
0.0323486	0.111389
0.0317383	0.105591
0.0283813	0.104065
0.0527954	0.110168
0.0662231	0.1297
0.0567627	0.168152
0.015564	0.227051
-0.0152588	0.30304
-0.0476074	0.392761
-0.0759888	0.494995
-0.0949097	0.606995
-0.10498	0.725403
-0.134277	0.844421
-0.159302	0.957947
-0.133362	1.05591
-0.0698853	1.12457
-0.00732422	1.15265
0.0466919	1.13525
0.100098	1.07208
0.131836	0.966492
0.173035	0.826721
0.250244	0.663147
0.324707	0.486755
0.336914	0.310059
0.272827	0.145874
0.137329	0.00640869
-0.0640869	-0.0991821
-0.255737	-0.166016
-0.4422	-0.193787
-0.587769	-0.187073
-0.625916	-0.154419
-0.570374	-0.106201
-0.528564	-0.0518799
-0.449829	-0.000610352
-0.133057	0.0421143
0.403748	0.0738525
0.983276	0.09552
